paperid,doi,year,date,doctype,cited_by_count,is_retracted,reference_count,citation_count,C3,C5,C10,disruption,Atyp_Median_Z,Atyp_10pct_Z,Atyp_Pairs,WSB_mu,WSB_sigma,WSB_Cinf,SB_B,SB_T,team_size,institution_count,patent_count,newsfeed_count,nct_count,nih_count,nsf_count
W4394064525,https://doi.org/10.3934/dcds.2024044,2024,2024-01-01,article,0,False,96,0,0,0,0,0.0,346.2279190501895,73.80895955378787,595.0,,,,,,0,0,0,0,0,0,0
W4403597153,https://doi.org/10.1007/s10567-024-00504-4,2024,2024-10-21,review,0,False,78,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W3214307450,https://doi.org/10.1093/llc/fqab015,2021,2021-02-05,article,6,False,4,6,6,6,6,-0.2352941176470588,,,,,,,0.0,0.0,1,1,0,1,0,0,0
W4253015820,https://doi.org/10.31234/osf.io/xn9yq,2021,2021-09-23,preprint,8,False,103,8,8,8,8,-0.0007267441860465,,,,,,,0.5,1.0,2,2,0,0,0,0,0
W4400585925,https://doi.org/10.20944/preprints202407.0943.v1,2024,2024-07-11,preprint,1,False,75,1,1,1,1,-0.0002994011976047,,,,,,,0.0,0.0,3,1,0,0,0,0,0
W4402543641,https://doi.org/10.1093/bioinformatics/btae556,2024,2024-09-13,article,1,False,0,1,1,1,1,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W2215020134,https://doi.org/10.1371/journal.pntd.0004297,2015,2015-12-23,article,18,False,75,18,5,9,18,-0.0010276172125883,28.13807866575613,-10.835265242127312,630.0,,,,1.0,4.0,9,4,0,0,0,0,0
W3102212320,https://doi.org/10.1007/s11425-016-0231-x,2017,2017-03-22,article,18,False,43,18,10,14,17,-0.0013157894736842,331.06761475070783,86.07692307692308,136.0,,,,4.133333333333333,4.0,2,1,0,0,0,0,0
W2598586829,https://doi.org/10.1017/s147895151700013x,2017,2017-03-30,article,17,False,16,17,6,11,17,-0.0032770355432316,39.66666666666667,1.7329093567693334,36.0,,,,0.0,0.0,2,2,0,0,0,0,0
W4247104563,https://doi.org/10.5465/ambpp.2019.11688symposium,2019,2019-08-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4285065272,https://doi.org/10.1093/jss/fgac012,2022,2022-05-05,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2605038791,https://doi.org/10.1086/691128,2017,2017-03-01,article,188,False,55,179,49,101,179,-0.0056509613973286,138.21844246640114,14.17103319515489,276.0,,,,-0.1237529774074001,6.0,2,2,0,0,0,0,0
W2985181464,https://doi.org/10.1017/slr.2019.181,2019,2019-01-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4390906727,https://doi.org/10.1007/s10835-023-09453-x,2024,2024-01-16,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4392067223,https://doi.org/10.1515/9798887193601-fm,2024,2024-02-22,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W3184975854,https://doi.org/10.1007/978-3-030-76821-8_14,2021,2021-01-01,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W3186265143,https://doi.org/10.1007/978-3-030-76821-8_10,2021,2021-01-01,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W3186609331,https://doi.org/10.2139/ssrn.3507131,2019,2019-01-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2319132924,https://doi.org/10.1080/23303131.2016.1153551,2016,2016-02-29,article,2,False,33,2,1,1,2,1.4602526529140072e-06,10.263020132070508,-3.838158190735685,78.0,,,,0.0,0.0,3,3,0,0,0,0,0
W2990979002,https://doi.org/10.1163/15685179-12341521,2019,2019-11-15,article,2,False,36,2,1,2,2,0.0,82.7780740970471,1.4507417849275586,21.0,,,,0.0,0.0,1,1,0,0,0,0,0
W3102353976,https://doi.org/10.1007/s13538-015-0366-3,2015,2015-09-24,article,14,False,42,11,9,10,11,-0.0010653753026634,236.60065819793277,34.18002696733718,231.0,,,,0.0,0.0,3,2,0,0,0,0,1
W1438318074,https://doi.org/10.2174/1573402111666150325234503,2015,2015-07-31,article,13,False,28,13,12,13,13,-0.0002147766323024,93.7391458552291,16.517546467843378,78.0,,,,0.0,0.0,9,8,0,0,0,0,0
W2088681250,https://doi.org/10.1016/j.annemergmed.2015.01.014,2015,2015-03-24,article,12,False,19,12,5,7,12,-2.540113149340237e-06,487.1613891826597,14.851919012603537,21.0,,,,1.0,1.0,34,10,0,0,0,0,0
W2499468295,https://doi.org/10.1080/15265161.2016.1197338,2016,2016-07-29,review,39,False,65,29,7,17,29,-0.0009515753859166,,,,,,,4.683333333333334,4.0,3,2,0,0,0,0,0
W2206473496,https://doi.org/10.1007/978-1-4939-2089-1_11,2015,2015-01-01,book-chapter,0,False,8,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2898849178,https://doi.org/10.1109/embc.2018.8513644,2018,2018-07-01,article,12,False,15,12,8,12,12,-0.0014285714285714,,,,,,,-0.1666666666666666,1.0,4,3,1,0,0,0,0
W2534393888,https://doi.org/10.5858/2016-0110-cp,2016,2016-10-20,article,26,False,19,24,11,17,24,-0.0049822064056939,73.69091690500643,10.41129320802196,36.0,,,,0.0,0.0,5,5,0,0,0,0,0
W2414959330,https://doi.org/10.5041/rmmj.10216,2015,2015-07-30,article,1,False,14,1,1,1,1,0.0007651109410864,-2.205291217167924,-86.53770218305841,28.0,,,,0.0,0.0,2,3,0,0,0,0,0
W2589728867,https://doi.org/10.1515/plc-2016-0008,2016,2016-12-01,article,1,False,29,1,0,0,1,-0.0003511235955056,44.5,-2.657201272733284,120.0,,,,0.0,0.0,2,4,0,0,0,0,0
W2795439993,https://doi.org/10.1080/23794925.2018.1455544,2018,2018-04-02,article,1,False,33,1,0,0,1,-0.000542888165038,103.08664262416332,2.4711705423143524,153.0,,,,0.0,0.0,4,5,0,0,0,0,0
W4238744625,https://doi.org/10.1007/978-3-319-02249-9_1,2017,2017-01-01,book-chapter,2,False,4,2,2,2,2,0.0009438414346389,,,,,,,0.0,0.0,1,2,0,0,0,0,0
W3185391284,https://doi.org/10.1007/978-3-030-76821-8_25,2021,2021-01-01,book-chapter,1,False,0,1,1,1,1,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W4295934217,https://doi.org/10.2139/ssrn.4207578,2022,2022-01-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4313839522,https://doi.org/10.2139/ssrn.4319721,2023,2023-01-01,article,0,False,41,0,0,0,0,0.0,1630.1744601728574,4.505590254576944,55.0,,,,,,0,0,0,0,0,0,0
W4318068315,https://doi.org/10.1177/26350106221149665,2023,2023-01-26,article,0,False,47,0,0,0,0,0.0,52.09742211106346,-0.016990691650766,210.0,,,,,,0,0,0,0,0,1,0
W4318210528,https://doi.org/10.52843/cassyni.wn2x11,2022,2022-07-05,preprint,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4319992106,https://doi.org/10.2139/ssrn.4326434,2023,2023-01-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4321382009,https://doi.org/10.4018/978-1-6684-6961-3.ch020,2023,2023-02-20,book-chapter,0,False,42,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4327890856,https://doi.org/10.5281/zenodo.7751130,2023,2023-03-20,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4372057050,https://doi.org/10.1080/24720038.2021.2014497,2022,2022-01-02,article,0,False,34,0,0,0,0,0.0,23.270152556440195,2.171547606649409,105.0,,,,,,0,0,0,0,0,0,0
W4214720095,https://doi.org/10.2991/assehr.k.211220.085,2021,2021-01-01,review,0,False,13,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4400650887,https://doi.org/10.1080/02770903.2024.2380517,2024,2024-07-15,article,0,False,31,0,0,0,0,0.0,7.480359283532726,-3.913118960624632,153.0,,,,,,0,0,0,0,0,0,0
W4401337945,https://doi.org/10.1109/chase60773.2024.00039,2024,2024-06-19,article,0,False,13,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,1,0
W4401338257,https://doi.org/10.1109/chase60773.2024.00030,2024,2024-06-19,article,0,False,11,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W3193293631,https://doi.org/10.1177/10443894211012236,2021,2021-08-18,article,3,False,0,3,3,3,3,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W3149452038,https://doi.org/10.1177/20552173211006139,2021,2021-04-01,article,6,False,33,6,6,6,6,-0.0001280081925243,8.477777421736397,-4.228410758433017,253.0,,,,0.0,0.0,5,5,0,0,0,0,0
W2911352582,https://doi.org/10.1103/physreve.101.013306,2020,2020-01-13,article,5,False,22,5,5,5,5,-0.0014628437682855,333.40800662032734,-43.65342541580928,45.0,,,,0.0,0.0,3,3,0,0,0,0,0
W2222618148,,2015,2015-10-08,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2266578037,,2015,2015-11-11,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2049387306,https://doi.org/10.1371/journal.pone.0124183,2015,2015-04-24,article,13,False,50,13,6,10,13,-0.0014992503748125,38.8107474799951,-3.108391940637636,406.0,,,,2.208333333333333,1.0,9,4,0,0,0,0,0
W2801305998,,2018,2018-02-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2801713020,https://doi.org/10.1007/978-3-319-76490-0_14,2018,2018-01-01,book-chapter,0,False,24,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2893638839,,2018,2018-09-14,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2916817403,,2018,2018-03-20,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2923703055,https://doi.org/10.1086/702886,2019,2019-03-21,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2945232302,https://doi.org/10.1007/978-3-030-16111-8_5,2019,2019-01-01,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2945292411,https://doi.org/10.1007/978-3-030-16111-8_9,2019,2019-01-01,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2945312582,https://doi.org/10.1007/978-3-030-16111-8_3,2019,2019-01-01,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2945785035,https://doi.org/10.1007/978-3-030-16111-8_1,2019,2019-01-01,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2969400534,,2019,2019-08-13,article,2,False,0,2,1,1,1,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W4313857496,https://doi.org/10.1037/pst0000469,2023,2023-01-09,article,0,False,23,0,0,0,0,0.0,369.0788111775971,101.13563713373044,28.0,,,,,,0,0,0,0,0,0,0
W4320805962,https://doi.org/10.1364/aoipm.1994.wpl.7,2022,2022-01-01,article,0,False,22,0,0,0,0,0.0,2130.5129083449992,139.97785229395825,10.0,,,,,,0,0,0,0,0,0,0
W4360800948,https://doi.org/10.5281/zenodo.7765335,2022,2022-09-07,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4362541070,https://doi.org/10.1158/1538-7445.am2023-2040,2023,2023-04-04,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4367298205,https://doi.org/10.7717/peerj.15138,2023,2023-04-28,article,0,False,39,0,0,0,0,0.0,16.05546539403118,-3.39316027032613,276.0,,,,,,0,0,0,0,0,0,0
W4367304191,https://doi.org/10.1212/wnl.0000000000202859,2023,2023-04-25,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4367318831,https://doi.org/10.1103/physrevb.107.165159,2023,2023-04-28,article,0,False,19,0,0,0,0,0.0,1396.793792675859,301.34223289105705,28.0,,,,,,0,0,0,0,0,0,2
W4380358987,https://doi.org/10.2139/ssrn.4462756,2023,2023-01-01,preprint,0,False,22,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4384814669,https://doi.org/10.48550/arxiv.2307.08440,2023,2023-01-01,preprint,0,False,74,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4385358944,https://doi.org/10.5014/ajot.2023.77s2-rp29,2023,2023-07-01,article,0,False,2,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2346485571,https://doi.org/10.1080/00310328.2016.1138216,2016,2016-01-02,article,16,False,19,15,10,11,15,-0.0316091954022988,inf,253.00000000000003,15.0,,,,6.166666666666666,5.0,6,5,0,0,0,0,0
W2369966608,https://doi.org/10.1037/a0040063,2016,2016-02-01,article,16,False,43,16,4,10,16,0.0002227419534469,201.43479251507975,9.032258817505465,45.0,,,,5.0,2.0,5,2,0,0,0,0,0
W2127550107,https://doi.org/10.1016/j.geb.2016.09.004,2016,2016-09-22,article,15,False,38,15,4,9,14,-0.0014938113529662,398.2698412698412,11.303185221928748,91.0,,,,9.666666666666666,7.0,2,2,0,0,0,0,0
W2791129502,https://doi.org/10.1016/b978-0-323-35876-7.00013-3,2018,2018-01-01,book-chapter,1,False,16,1,0,1,1,-0.0017825311942959,,,,,,,0.0,0.0,2,3,0,0,0,0,0
W2804384714,,2018,2018-07-18,article,1,False,0,1,1,1,1,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W4226378803,https://doi.org/10.1088/1367-2630/ac652e,2022,2022-04-01,article,9,False,17,9,9,9,9,-0.0005777007510109,75.86855060613256,-18.02808088336407,78.0,,,,0.0,0.0,6,5,0,0,0,0,0
W1929773595,https://doi.org/10.1155/2015/152854,2015,2015-01-01,article,23,False,27,23,6,11,23,-0.0007722007722007,122.90037768839905,-2.2596213975241866,28.0,,,,5.133333333333333,2.0,5,6,0,0,0,0,0
W2466183980,https://doi.org/10.1386/csfb.7.1.41_1,2016,2016-06-01,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2535969517,https://doi.org/10.1017/cbo9781316111291.003,2016,2016-10-17,book-chapter,0,False,3,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4223933215,https://doi.org/10.1089/jpm.2022.0004,2022,2022-04-13,article,2,False,14,2,2,2,2,0.0001308472358521,23.0985004888614,2.1516870283438965,55.0,,,,0.0,0.0,6,2,0,0,0,0,0
W4243761973,https://doi.org/10.31234/osf.io/62amx,2019,2019-08-23,preprint,2,False,136,2,2,2,2,0.0,,,,,,,0.0,0.0,3,3,0,0,0,0,0
W4292749517,https://doi.org/10.1103/physreve.106.024303,2022,2022-08-23,article,2,False,16,2,2,2,2,-0.0018639328984156,228.0101994014973,0.213896315973249,36.0,,,,0.0,0.0,2,2,0,0,0,0,0
W4294390828,https://doi.org/10.2139/ssrn.4205398,2022,2022-01-01,article,2,False,1,2,2,2,2,0.3333333333333333,,,,,,,0.0,0.0,2,2,0,0,0,0,0
W2334445087,https://doi.org/10.15766/mep_2374-8265.10052,2015,2015-03-11,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2109883756,https://doi.org/10.1146/annurev-pharmtox-010814-124519,2015,2015-01-06,article,4,False,7,4,1,2,4,0.0014388489208633,,,,,,,0.0,0.0,2,2,0,0,0,0,0
W4285796145,https://doi.org/10.1002/eat.23774,2022,2022-07-19,review,4,False,26,4,4,4,4,2.123457838744612e-05,,,,,,,0.0,0.0,7,3,0,0,0,0,0
W3015232611,https://doi.org/10.1101/2020.04.07.20056606,2020,2020-04-11,preprint,8,False,38,8,5,8,8,-1.334350404864152e-05,,,,,,,0.0,0.0,7,5,0,0,0,0,0
W3158673359,,2020,2020-02-01,article,8,False,0,8,4,8,8,0.0,,,,,,,0.5,1.0,0,0,0,0,0,0,0
W4214546428,https://doi.org/10.1037/ccp0000694,2022,2022-01-01,article,8,False,0,8,8,8,8,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W3110910900,https://doi.org/10.1080/10911359.2020.1838985,2020,2020-12-10,article,7,False,26,7,6,7,7,0.0012125411397886,12.230437229808448,-0.3597614304667194,171.0,,,,0.0,0.0,6,3,0,0,0,0,0
W3155779596,,2018,2018-03-09,article,1,False,0,1,0,1,1,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W4241121661,https://doi.org/10.1093/oxfordhb/9780198793991.013.18,2019,2019-06-13,book-chapter,1,False,31,1,1,1,1,-4.914246400314512e-05,,,,,,,0.0,0.0,1,1,0,0,0,0,0
W4310085949,https://doi.org/10.1080/1463922x.2022.2149878,2022,2022-11-28,article,1,False,54,1,1,1,1,-2.5053238131028435e-05,9.0688346548033,-5.990934113079383,496.0,,,,0.0,0.0,6,4,0,0,0,0,0
W4318184568,https://doi.org/10.1007/s10633-023-09921-2,2023,2023-01-27,article,1,False,45,1,1,1,1,-0.000414937759336,94.1860224552378,10.285912696499032,231.0,,,,0.0,0.0,4,6,0,0,0,0,0
W4362523168,https://doi.org/10.1080/10503307.2023.2191801,2023,2023-04-04,article,1,False,53,1,1,1,1,-0.0007163323782234,226.85294117647047,26.36996920624273,190.0,,,,0.0,0.0,3,2,0,0,0,0,0
W4382619350,https://doi.org/10.48550/arxiv.2306.16401,2023,2023-01-01,preprint,1,False,13,1,1,1,1,-0.0005903187721369,,,,,,,0.0,0.0,4,4,0,0,0,0,0
W4253613130,https://doi.org/10.13109/jaju.2017.8.1.2,2017,2017-02-09,article,0,False,10,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4294390830,https://doi.org/10.2139/ssrn.4197397,2022,2022-01-01,article,0,False,41,0,0,0,0,0.0,246.8450922005172,2.676438793422618,105.0,,,,,,0,0,0,0,0,0,0
W4309352049,https://doi.org/10.55521/10-019-307,2022,2022-11-16,article,0,False,13,0,0,0,0,0.0,21.71205459740048,-1.833157144458453,36.0,,,,,,0,0,0,0,0,0,0
W4232175356,https://doi.org/10.1515/9781618115201-fm,2020,2020-12-31,book-chapter,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4405601502,https://doi.org/10.1109/compas60761.2024.10796275,2024,2024-09-25,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4385976110,https://doi.org/10.1109/tnsre.2023.3306365,2023,2023-01-01,article,3,False,71,3,3,3,3,-1.1971746677840296e-05,14.995945397952688,-8.549975060207615,780.0,,,,0.0,0.0,4,3,0,0,0,0,0
W2618668442,,2015,2015-01-01,article,2,False,13,2,0,2,2,0.0,,,,,,,0.0,0.0,11,6,0,0,0,0,0
W2555986277,,2015,2015-09-24,article,0,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W2884662511,https://doi.org/10.1093/jcr/ucy063,2018,2018-07-14,article,13,False,68,13,4,9,13,-3.330631820856416e-05,457.47381350552735,2.9625967625873737,300.0,,,,0.9166666666666666,2.0,4,4,0,0,0,0,0
W2613009869,https://doi.org/10.1103/physrevb.96.014204,2017,2017-07-21,article,12,False,70,12,5,9,12,-0.0006587615283267,1244.5352956959553,183.77158504206548,231.0,,,,2.1,1.0,4,3,0,0,0,0,1
W4319300024,https://doi.org/10.1109/wacv56688.2023.00228,2023,2023-01-01,article,12,False,40,12,11,11,11,-0.0001038925058872,89.89906991292676,3.856190670814335,171.0,,,,0.0,0.0,2,2,0,0,0,0,0
W2437937060,https://doi.org/10.1109/icps.2016.7490258,2016,2016-05-01,article,6,False,14,6,4,6,6,-0.021505376344086,,,,,,,0.5,1.0,1,2,0,0,0,0,0
W2597495304,https://doi.org/10.1016/j.physa.2017.09.028,2017,2017-10-12,article,181,False,64,180,61,107,180,-0.0080343537886133,13.0873254924026,-17.901135074141987,406.0,,,,0.2620915032679738,4.0,2,2,0,0,0,0,0
W2884201143,https://doi.org/10.1103/physrevlett.122.024101,2019,2019-01-15,article,169,False,61,162,106,160,160,-0.0214627703483572,621.626037911491,66.50395621522766,378.0,,,,0.1176470588235294,1.0,7,5,0,0,0,0,1
W2079503946,https://doi.org/10.1016/j.aim.2014.12.013,2015,2015-01-28,article,164,False,23,164,53,88,164,-0.0168460458586803,200.45388651198712,5.068140340561605,105.0,,,,-0.3673054070112893,5.0,3,3,0,0,0,0,1
W2325771983,https://doi.org/10.1016/j.jand.2015.12.017,2016,2016-04-01,article,91,False,57,88,24,54,87,-0.0011731331186144,52.66944551322288,-2.0867128917946545,435.0,,,,3.332193732193732,1.0,8,5,0,0,0,0,0
W2796546508,https://doi.org/10.1037/ccp0000284,2018,2018-04-01,article,74,False,77,75,39,63,74,-0.0001664156563849,220.4171660840708,30.255113808635265,171.0,,,,-0.8892857142857142,2.0,4,3,0,0,0,0,0
W2530461278,https://doi.org/10.1002/andp.201600284,2017,2017-01-13,article,66,False,116,66,46,63,66,-0.0051768766177739,744.3200703594924,107.817364654229,465.0,,,,0.5625,1.0,2,2,0,0,0,0,2
W4402924598,https://doi.org/10.32872/cpe.13827,2024,2024-09-27,article,0,False,27,1,1,1,1,0.0001336719689881,38.4340343715001,10.28541876154961,190.0,,,,0.0,0.0,25,16,0,0,0,0,0
W4379881468,https://doi.org/10.1111/1475-679x.12495,2023,2023-06-08,article,4,False,86,4,2,2,2,-0.0002658160552897,1686.2850190683307,240.11811852372463,120.0,,,,0.0,0.0,2,3,0,0,0,0,0
W3098130354,,2019,2019-01-01,article,2,False,0,2,2,2,2,0.0,,,,,,,0.0,0.0,0,0,0,0,0,0,0
W4395676102,https://doi.org/10.21468/scipostphyscore.7.2.023,2024,2024-04-26,article,2,False,70,2,2,2,2,-0.0010487676979549,1663.7131926752031,136.6432126400308,276.0,,,,0.0,0.0,3,2,0,0,0,0,1
W2945922273,https://doi.org/10.1108/mf-06-2018-0287,2019,2019-05-23,article,1,False,36,1,0,1,1,-0.0001793721973094,416.7490085360751,28.307075393312672,190.0,,,,0.0,0.0,3,2,0,0,0,0,0
W4225320926,https://doi.org/10.1164/ajrccm-conference.2022.205.1_meetingabstracts.a4787,2022,2022-05-01,article,1,False,0,0,0,0,0,0.0,,,,,,,,,0,0,0,0,0,0,0
W4285591355,https://doi.org/10.1007/s42972-022-00060-7,2022,2022-07-15,article,1,False,24,1,1,1,1,0.0005288207297726,-0.0440225453162812,-29.38696249878575,78.0,,,,0.0,0.0,5,2,0,0,0,0,0
W4391758013,https://doi.org/10.1097/psy.0000000000001283,2024,2024-01-11,article,1,False,94,1,1,1,1,6.963303391128752e-05,43.49009637178322,-0.1682451190203088,1431.0,,,,0.0,0.0,7,5,0,0,0,0,0
W2885803694,https://doi.org/10.1093/gerona/gly181,2018,2018-08-13,article,41,False,39,41,21,33,41,-0.0038638913124766,54.66877391913173,0.2035633841506489,300.0,,,,0.0,0.0,4,3,0,0,0,0,0
